id,smiles,exact_mass,type,C3,C6,C20,C26,C28,Other
Dehydrosoyasaponin I,CC1OC(OC2C(O)C(O)C(CO)OC2OC2C(O)C(O)C(OC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CC(=O)C5(C)CCC43C)C2(C)CO)C(O)=O)C(O)C(O)C1O,940.5031655920002,OL,3,,,,,
RIKENPlaSMA005392,CC1OC(OC2C(O)C(O)C(OCC3OC(OC(=O)C45CCC(C)(C)CC4C4=CCC6C7(C)CCC(OC8OCC(O)C(O)C8OC8OC(C)C(O)C(O)C8O)C(C)(CO)C7CCC6(C)C4(C)CC5)C(O)C(O)C3O)OC2CO)C(O)C(O)C1O,1220.618983,OA,2,,,,3,
Quillaic acid 3-[galactosyl-(1-&gt;2)-[rhamnosyl-(1-&gt;3)]-glucuronide] 28-[glucosyl-(1-&gt;3)-[glucosyl-(1-&gt;3)-rhamnosyl-(1-&gt;2)]-4-acetyl-fucosyl] ester,CC1OC(OC2C(O)C(OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(O)CC54C)C(=O)OC4OC(C)C(OC(C)=O)C(OC5OC(CO)C(O)C(O)C5O)C4OC4OC(C)C(O)C(OC5OC(CO)C(O)C(O)C5O)C4O)C3(C)C=O)C2OC2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)C(O)C1O,1628.7093738919991,OA,3,,,,4,
Licoricesaponin B2,CC1(C)C(CCC2(C)C1CCC1(C)C2CC=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OC(C(O)C(O)C1O)C(O)=O)C(O)=O,808.4245213480001,OA,2,,,,,
Officinalisnin I,C[C@H](CC[C@@]1(O)O[C@H]2C[C@H]3[C@@H]4CC[C@@H]5C[C@H](CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,920.4980802,SS,2,,,1,,
Chikusetsusaponin Ia,CC(C)=CCCC(C)(O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(COC5OCC(O)C(O)C5O)C(O)C(O)C4O)C(C)(C)C3CCC21C,754.4867277,PPD,2,,,,,
RIKENPlaSMA005305,CC1OC(OC2C(O)COC(OC3C(C)OC(OC4C(O)C(O)COC4OC(=O)C45CCC(C)(C)CC4C4=CCC6C7(C)CCC(OC8OC(CO)C(O)C(O)C8O)C(C)(CO)C7CCC6(C)C4(C)CC5O)C(O)C3O)C2O)C(O)C(O)C1O,1206.6033331279998,OA,1,,,,4,
"Methyl 3,4-dihydroxy-5-prenylbenzoate 3-glucoside",COC(=O)C1=CC(OC2OC(CO)C(O)C(O)C2O)=C(O)C(CC=C(C)C)=C1,398.1576824,error,,,,,,
Quillaic acid 3-[galactosyl-(1-&gt;2)-[rhamnosyl-(1-&gt;3)]-glucuronide] 28-[glucosyl-(1-&gt;3)-[xylosyl-(1-&gt;4)-rhamnosyl-(1-&gt;2)]-4-acetyl-fucosyl] ester,CC1OC(OC2C(O)C(OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(O)CC54C)C(=O)OC4OC(C)C(OC(C)=O)C(OC5OC(CO)C(O)C(O)C5O)C4OC4OC(C)C(OC5OCC(O)C(O)C5O)C(O)C4O)C3(C)C=O)C2OC2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)C(O)C1O,1598.6988092079991,OA,3,,,,4,
Lucyoside R,CC1(C)CC2C3=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CCC2(CC1O)C(O)=O,666.3979127,OA,1,,,,,
RIKENPlaSMA008341,CC12CCC(C)(CC1C1=CC(=O)C3C4(C)CCC(OC5OC(C(O)C(O)C5OC5OC(C(O)C(O)C5O)C(O)=O)C(O)=O)C(C)(CO)C4CCC3(C)C1(C)CC2)C(O)=O,838.3987005,OA,2,,,,,
Acetylsoyasaponin A2,CC(=O)OCC1OC(OC2C(O)COC(OC3C(O)C(C)(C)CC4C5=CCC6C7(C)CCC(OC8OC(C(O)C(O)C8OC8OC(CO)C(O)C(O)C8O)C(O)=O)C(C)(CO)C7CCC6(C)C5(C)CCC34C)C2O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,1274.593162,OL,2,,,,,C22:1
Theasaponin E6,OC[C@H]1O[C@@H](O[C@H]2C(O[C@H]3CC[C@@]4(C)[C@@]([H])(CC[C@]5(C)[C@]4([H])CC=C4[C@]6([H])CC(C)(C)[C@@H](OC(=O)C(\C)=C\C)[C@H](O)[C@]6(CO)[C@H](O)C[C@@]54C)[C@]3(C)C=O)O[C@H](C(=O)O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@H](O)[C@H](O)C2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,1188.556383,OL,4,,,,,
Calendasaponin B,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,972.4929948,OA,2,,,,1,
Cellopentaosylsitosterol,CCC(CCC(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)OC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(OC4OC(CO)C(OC5OC(CO)C(O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C1O)C(C)C,1224.6502833200002,Other,5,,,,,
Uralsaponin B,CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(OC2OC(C(O)C(O)C2O)C(O)=O)C1O)C(O)=O,822.4037859040002,OA,2,,,,,
Chakasaponin III,[H]\C(C)=C(\C)C(=O)O[C@@]1([H])[C@]([H])(OC(C)=O)[C@]2(CO)[C@]([H])(O)[C@]([H])(O)[C@]3(C)C(=CC[C@]4([H])[C@@]5(C)CC[C@]([H])(O[C@]6([H])O[C@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O[C@]7([H])OC[C@]([H])(O)[C@]([H])(O)[C@@]7([H])O[C@]7([H])OC[C@@]([H])(O)[C@]([H])(O)[C@@]7([H])O)[C@@]6([H])O[C@]6([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]6([H])O)C(C)(C)[C@]5([H])CC[C@@]34C)[C@]2([H])CC1(C)C,1232.5825976840003,OL,4,,,,,
Theasaponin E4,CC=C(C)C(=O)OC1C(O)C2(CO)C(CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC34C)C2CC1(C)C)OC(C)=O,1230.5669476200003,OL,4,,,,,
Quillaic acid 3-[rhamnosyl-(1-&gt;3)-[galactosyl-(1-&gt;2)]-glucuronide],CC1OC(OC2C(O)C(OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(O)CC54C)C(O)=O)C3(C)C=O)C2OC2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)C(O)C1O,970.4773447680004,OA,3,,,,,
3beta-{O-D-Glucopyranosyl-(1_2)-[O-alpha-L-arabinopyranosyl(1_6)]beta-D-glucopyranosyloxy}-machaerinic acid _-lactone,[H][C@]12C[C@@]3(CC[C@]4(C)C(=CC[C@]5([H])[C@@]6(C)CC[C@H](O[C@]7([H])O[C@H](CO[C@@H]8OC[C@H](O)[C@H](O)[C@H]8O)[C@@H](O)[C@H](O)[C@H]7O[C@]7([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@]6([H])CC[C@@]45C)[C@@]3([H])CC1(C)C)C(=O)O2,910.4926009,OL,3,,,,,
Helianthoside C,CC1OC(OC2C(C)OC(OC3C(O)C(COC4OCC(O)C(O)C4O)OC(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CCC7(C(O)CC65C)C(=O)OC5OCC(O)C(O)C5OC5OC(C)C(OC6OC(CO)C(O)C(O)C6O)C(O)C5O)C4(C)C)C3O)C(O)C2O)C(O)C(O)C1O,1498.7191507279992,OA,4,,,,3,
Sandosaponin A,[H][C@@]1(O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@]2([H])O[C@@H]2[C@@H](O)[C@H](O)[C@H](O[C@@]2([H])O[C@H]2CC[C@@]3(C)[C@@]([H])(CC[C@]4(C)[C@]3([H])CC=C3[C@]5([H])CC(C)(C)CC(=O)[C@]5(C)CC[C@@]43C)[C@@]2(C)CO)C(O)=O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,956.4980802120002,OL,3,,,,,
Quillaic acid 3-[galactosyl-(1-&gt;2)-[xylosyl-(1-&gt;3)]-glucuronoside] 28-[xylosyl-(1-&gt;3)-xylosyl-(1-&gt;4)-rhamnosyl-(1-&gt;2)-[rhamnosyl-(1-&gt;3)]-4-acetyl-fucosyl] ester,CC1OC(OC2C(OC(C)=O)C(C)OC(OC(=O)C34CCC(C)(C)CC3C3=CCC5C6(C)CCC(OC7OC(C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)=O)C(C)(C=O)C6CCC5(C)C3(C)CC4O)C2OC2OC(C)C(OC3OCC(O)C(OC4OCC(O)C(O)C4O)C3O)C(O)C2O)C(O)C(O)C1O,1700.7305032599988,OA,3,,,,5,
Schidigerasaponin D1,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(OC3OCC(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,872.4769508,SS,3,,,,,
Medicoside E,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(CO)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,928.5031656,OA,2,,,,1,
RIKENPlaSMA007801,CC1OC(OC2CCC3(C)C(CCC4(C)C3C=CC3=C5CC(C)(C)CCC5(CO)C(O)CC43C)C2(C)CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,780.4659922360001,OL,2,,,,,
"1beta,2alpha,3beta,19alpha-Tetrahydroxy-12-ursen-28-oic acid 28-O-[b-D-Glucopyranosyl-(1-&gt;2)-b-D-glucopyranosyl] ester",CC1CCC2(CCC3(C)C(=CCC4C3(C)CCC3C(C)(C)C(O)C(O)C(O)C43C)C2C1(C)O)C(=O)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,828.4507361,OA,,,,,2,
HMDB0041531,COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC(OC5OC(C)C(O)C(OC6OCC(O)C(O)C6O)C5O)C5CC(=O)CCC5(C)C4CCC3(C)C2C1C,902.4875155,SS,,2,,1,,
Congmunoside XII,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1398.6667212319994,OA,4,,,,2,
"(3beta,4alpha,22beta)-22-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-alpha-L-arabinopyranosyl]oxy]-23-hydroxyolean-12-en-3-yl O-6-deoxy-alpha-L-mannopyranosyl-(1-&gt;2)-O-beta-D-galactopyranosyl-(1-&gt;2)-beta-D-glucopyranosiduronic acid",C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)CO[C@H]2O[C@@H]2CC(C)(C)CC3C4=CCC5[C@@]6(C)CC[C@H](O[C@@H]7O[C@@H]([C@@H](O)[C@H](O)[C@H]7O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O[C@@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)C(O)=O)[C@@](C)(CO)C6CC[C@@]5(C)[C@]4(C)CC[C@@]23C)[C@H](O)[C@H](O)[C@H]1O,1220.618983,OL,3,,,,,C22:2
"(3b,16a,20R)-3,16,20,22,25-Pentahydroxy-5-cucurbiten-11-one 3-[rhamnosyl-(1-&gt;4)-[glucosyl-(1-&gt;6)]-glucoside]",CC1OC(OC2C(COC3OC(CO)C(O)C(O)C3O)OC(OC3CCC4C(=CCC5C6(C)CC(O)C(C(C)(O)C(O)CCC(C)(C)O)C6(C)CC(=O)C45C)C3(C)C)C(O)C2O)C(O)C(O)C1O,976.524295,Other,3,,,,,
Hebevinoside X,COC1C=C2C(CCC(OC3OCC(O)C(O)C3O)C2(C)C)C2(C)CCC3(C)C(C(C)CCC=C(C)C)C(CC3(C)C12)OC1OC(CO)C(O)C(O)C1O,766.4867276800002,Other,1,,,,,C16:1
Trigoneoside VIII,CC(CCC1=C(C)C2C(CC3C4CCC5CC(OC6OC(COC7OCC(O)C(O)C7O)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)O1)COC1OC(CO)C(O)C(O)C1O,888.4718655,SS,2,,,1,,
"28-Glucosyl-3b,23-dihydroxy-12,19(29)-ursadien-28-oate 3-arabinoside",CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(CO)C5CCC34C)C2C1=C)C(=O)OC1OC(CO)C(O)C(O)C1O,764.4346921080001,OA,1,,,,1,
Floratheasaponin G,OC[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@]([H])(CC[C@]5(C)[C@]4([H])CC=C4[C@]6([H])CC(C)(C)[C@@H](OC(=O)C(\C)=C\C)[C@H](OC(C)=O)[C@]6(CO)[C@H](O)C[C@@]54C)C3(C)C)O[C@H](C(O)=O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,1230.603333,OA,4,,,,,
Dulcin,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,1060.5454243280003,OA,2,,,,2,
Quillaic acid 3-[galactosyl-(1-&gt;2)-[rhamnosyl-(1-&gt;3)]-glucuronide] 28-[rhamnosyl-(1-&gt;3)-[glucosyl-(1-&gt;3)-[xylosyl-(1-&gt;4)]-rhamnosyl-(1-&gt;2)]-4-acetyl-fucosyl] ester,CC1OC(OC2C(O)C(OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(O)CC54C)C(=O)OC4OC(C)C(OC(C)=O)C(OC5OC(C)C(O)C(O)C5O)C4OC4OC(C)C(OC5OCC(O)C(O)C5O)C(OC5OC(CO)C(O)C(O)C5O)C4O)C3(C)C=O)C2OC2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)C(O)C1O,1744.7567180079989,OA,3,,,,5,
Basellasaponin B,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C7OC(O)(C(OCC(O)=O)OC7C6O)C(O)=O)C(O)=O)C(C)(C=O)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,968.4253092,OA,1,,,,1,
28-Glucosyloleanolic acid 3-arabinoside,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,750.4554275520002,OA,1,,,,1,
Medicagenic acid 3-O-[b-D-glucosyl-(1-&gt;2)-b-D-glucoside] 28-O-[b-D-xylosyl-(1-&gt;4)-a-L-rhamnosyl-(1-&gt;2)-a-L-arabinosyl] ester,CC1OC(OC2C(O)C(O)COC2OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C5CCC4(C)C2(C)CC3)C(O)=O)C(O)C(O)C1OC1OCC(O)C(O)C1O,1236.577512,OA,2,,,,3,
Tragopogonsaponin B,O[C@@H]1CO[C@@H](OC(=O)[C@]23CCC(C)(C)C[C@@]2([H])C2=CCC4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)C5CC[C@@]4(C)[C@]2(C)C[C@H]3O)[C@H](OC(=O)\C=C\C2=CC=C(O)C=C2)[C@H]1O,926.4663862,OA,1,,,,1,
Calenduloside A,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(O)=O,780.4659922359999,OA,2,,,,,
Theasaponin C1,OC[C@H]1O[C@@H](O[C@H]2C(O[C@H]3CC[C@@]4(C)[C@@]([H])(CC[C@]5(C)[C@]4([H])CC=C4[C@]6([H])CC(C)(C)C[C@H](OC(=O)C(\C)=C/C)[C@]6(CO)[C@H](O)C[C@@]54C)[C@]3(C)CO)O[C@H](C(=O)O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@H](O)[C@H](O)C2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,1174.5771183800002,OA,4,,,,,
Sitosterol 3-O-(6'-O-oleyl-beta-D-glucoside),CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)C(=CC[C@H]4C5CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]5(C)CCC34)C2)[C@H](O)[C@@H](O)[C@@H]1O,840.6843053,Other,1,,,,,
"Quillaic acid 3-[rhamnosyl-(1-&gt;3)-[galactosyl-(1-&gt;2)]-glucuronide], 28-[apiosyl-(1-&gt;3)-xylosyl-(1-&gt;4)-[glucosyl-(1-&gt;3)]-rhamnosyl-(1-&gt;2)-4-[5-[[5-(arabinosyloxy)-3-hydroxy-6-methyl-1-oxooctyl]oxy]-3-hydroxy-6-methyl-1-oxooctyl]-fucosyl] ester",CCC(C)C(CC(O)CC(=O)OC(CC(O)CC(=O)OC1C(C)OC(OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(C)C(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC4(C)C2(C)CC3O)C(OC2OC(C)C(OC3OCC(O)C(OC4OCC(O)(CO)C4O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C1O)C(C)CC)OC1OC(CO)C(O)C1O,2164.992650739998,OA,3,,,,6,
Cucurbitacin I 2-glucoside,CC(C)(O)\C=C\C(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C,676.3458771039998,Other,,,,,,C2:1
Momordin B,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)C(O)=O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,632.3924333719999,OA,1,,,,,
Avenacoside B,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C2O)OC11CCC(C)(COC2OC(CO)C(O)C(O)C2O)O1,1224.577512,SS,4,,,1,,
Polypodoside A,CC(C1CCC2C3=CC(=O)C4CC(CCC4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C1CCC(C)C(OC2OC(C)C(O)C(O)C2O)O1,884.4769508,Other,2,,,,,C16:2
Tragopogonsaponin L,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OCC(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC(=O)CCC1=CC=C(O)C=C1,914.5027716680002,OA,,,,,2,
Torvonin A,CC1C2C(CC3C4CC(O)C5CC(CCC5(C)C4CCC23C)OC2OC(C)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)OC11CCC(C)CO1,724.4397774879999,SS,2,,,,,
Ginsenoside Rg5,CC(C)=CC\C=C(\C)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,766.4867277,PPD,2,,,,,
Lablaboside A,CC1OC(OC2C(O)C(O)C(CO)OC2OC2C(O)C(O)C(OC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(=O)OC3OC(CO)C(O)C(O)C3O)C2(C)C)C(O)=O)C(O)C(O)C1O,1102.5559890120005,OA,3,,,,1,
Notoginsenoside A,CC(C)(O)\C=C\CC(C)(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,1124.5978538240004,PPD,2,,2,,,
Chinenoside II,CC(CCC1=C(C)C2C(CC3C4CC(=O)C5CC(CCC5(C)C4CCC23C)OC2OC(COC3OCC(O)C(O)C3O)C(OC3OCC(O)C(O)C3O)C(O)C2O)O1)COC1OC(CO)C(O)C(O)C1O,1018.4984741360004,SS,3,,,1,,
Sitoindoside II,CCCCCCCC\C=C\CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O,840.6843053,Other,1,,,,,
29-[Glucosyl-(1-&gt;2)-glucosyl]katonic acid 3-[rhamnosyl-(1-&gt;2)[rhamnosyl-(1-&gt;4)]-glucosyl-(1-&gt;2)-glucuronide],CC1OC(OC2C(O)C(OC3OC(C)C(O)C(O)C3O)C(OC3C(O)C(O)C(OC3OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(CCC6(C)CCC54C)C(=O)OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C3(C)C)C(O)=O)OC2CO)C(O)C(O)C1O,1410.6667212319994,OA,4,,,,,C30:2
Ginsenoside Rh6,CC(C)(OO)\C=C\CC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(O)CC21C,670.4292128039999,PPT,,,1,,,
RIKENPlaSMA008473,CC1OC(OC2CCC3(C)C(CCC4(C)C3C=CC35OCC6(CCC(C)(C)CC36)C(O)CC45C)C2(C)CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,780.4659922360001,OL,2,,,,,
Diosgenin 3-[glucosyl-(1-&gt;4)-rhamnosyl-(1-&gt;4)-[rhamnosyl-(1-&gt;2)]-glucoside],CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C(O)C2OC2OC(C)C(O)C(O)C2O)OC11CCC(C)CO1,1030.53486,SS,4,,,,,
Fistuloside C,CC1C2C(CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,916.4667801,SS,3,,,,,
CCMSLIB00012417866,COC(=O)C1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,838.4350860320001,OA,1,,,,1,
HMDB0040744,CC(C1CCC2C3=CC(=O)C4CC(CCC4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O)C1CCC(C)C(OC2OC(C)C(O)C(O)C2O)O1,738.4190420440001,Other,1,,1,,,
25-Epiruizgenin 3-[4''-rhamnosylglucoside],CC1C2C(CC3C4CC(O)C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,740.4346921079999,SS,2,,,,,
RIKENPlaSMA005275,CC1OC(OC2C(O)COC(OC3C(C)OC(OC4C(O)C(O)COC4OC(=O)C45CCC(C)(C)CC4C4=CCC6C7(C)CCC(OC8OC(CO)C(O)C(O)C8O)C(C)(C)C7CCC6(C)C4(C)CC5O)C(O)C3O)C2O)C(O)C(O)C1O,1190.608419,OA,1,,,,4,
"(3b,20R,22R)-3,20,27-Trihydroxy-1-oxowitha-5,24-dienolide 3-glucoside",CC1=C(CO)C(=O)OC(C1)C(C)(O)C1CCC2C3CC=C4CC(CC(=O)C4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O,634.3353124,Other,1,,,,,
Koryoginsenoside R1,C\C=C\C(=O)OCC1OC(OC2CC3(C)C(CC(O)C4C(CCC34C)C(C)(CCC=C(C)C)OC3OC(CO)C(O)C(O)C3O)C3(C)CCC(O)C(C)(C)C23)C(O)C(O)C1O,868.5184217320001,PPT,,1,1,,,
Sitosterol 3-O-(6'-O-linoleyl-beta-D-glucoside),CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)C(=CC[C@@]4([H])C5CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]5(C)CCC34)C2)[C@H](O)[C@@H](O)[C@@H]1O,838.6686552,Other,1,,,,,
Medicoside F,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,928.5031656,OA,2,,,,1,
CCMSLIB00012339610,CC1OC(OC2C(CO)OC(OCC3OC(OC(=O)C45CCC(C)(C)CC4C4=CCC6C7(C)CC(O)C(O)C(C)(CO)C7C(O)CC6(C)C4(C)CC5)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,974.5086448960004,OA,,,,,3,
Physagulin D,CC(C1CCC2C3CC=C4CC(CC(O)C4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O)C1CC(C)=C(CO)C(=O)O1,620.3560479,Other,1,,,,,
Lablaboside E,CC1OC(OC2C(C)OC(OC3C(O)C(O)C(CO)OC3OC(=O)C34CCC(C)(C)CC3C3=CCC5C6(C)CCC(OC7OC(C(O)C(O)C7OC7OC(CO)C(O)C(O)C7OC7OC(C)C(O)C(O)C7O)C(O)=O)C(C)(CO)C6CCC5(C)C3(C)CC4)C(O)C2O)C(O)C(O)C1O,1410.666721,OA,3,,,,3,
